n_qubits,depth,gate_count,two_qubit_ratio,two_qubit_gates,fidelity,robust_fidelity,total_error_rate,classical_shadow_expr,entropy_expressibility,angle_entropy,entropy,concentration,state_exploration,entanglement_potential,circuit_complexity,quantum_volume,performance_per_complexity,shot_efficiency,expressibility_ratio,complexity_per_qubit,performance_score
10,4,0,0.300000,0,0.190789,0.639803,0.809211,38.100255,1.167619,1.167619,0,0,0.000000,1.200000,0,16,639802.631579,639.802632,0.030646,0.000000,0.747045
10,3,0,0.300000,0,0.197368,0.684211,0.802632,36.730703,1.162678,1.162678,0,0,0.000000,0.900000,0,9,684210.526316,684.210526,0.031654,0.000000,0.795516
10,3,0,0.300000,0,0.197368,0.684211,0.802632,36.730703,1.162678,1.162678,0,0,0.000000,0.900000,0,9,684210.526316,684.210526,0.031654,0.000000,0.795516
7,4,0,0.500000,0,0.138158,0.615132,0.861842,26.385253,1.162359,1.162359,0,0,0.000000,2.000000,0,16,615131.578947,615.131579,0.044053,0.000000,0.715003
7,4,0,0.500000,0,0.138158,0.615132,0.861842,26.385253,1.162359,1.162359,0,0,0.000000,2.000000,0,16,615131.578947,615.131579,0.044053,0.000000,0.715003
60,2,0,0.300000,0,0.023026,0.912829,0.976974,23.895421,1.160354,1.160354,0,0,0.000000,0.600000,0,4,912828.947368,912.828947,0.048560,0.000000,1.059205
60,2,0,0.300000,0,0.023026,0.912829,0.976974,23.895421,1.160354,1.160354,0,0,0.000000,0.600000,0,4,912828.947368,912.828947,0.048560,0.000000,1.059205
60,3,0,0.500000,0,0.001645,0.627467,0.998355,22.395505,1.157160,1.157160,0,0,0.000000,1.500000,0,9,627467.105263,627.467105,0.051669,0.000000,0.726080
60,3,0,0.500000,0,0.001645,0.627467,0.998355,22.395505,1.157160,1.157160,0,0,0.000000,1.500000,0,9,627467.105263,627.467105,0.051669,0.000000,0.726080
10,4,0,0.500000,0,0.160362,0.529605,0.839638,30.670585,1.156811,1.156811,0,0,0.000000,2.000000,0,16,529605.263158,529.605263,0.037717,0.000000,0.612653
10,4,0,0.500000,0,0.160362,0.529605,0.839638,30.670585,1.156811,1.156811,0,0,0.000000,2.000000,0,16,529605.263158,529.605263,0.037717,0.000000,0.612653
60,3,0,0.300000,0,0.000822,0.564967,0.999178,24.500672,1.155306,1.155306,0,0,0.000000,0.900000,0,9,564967.105263,564.967105,0.047154,0.000000,0.652710
60,3,0,0.300000,0,0.000822,0.564967,0.999178,24.500672,1.155306,1.155306,0,0,0.000000,0.900000,0,9,564967.105263,564.967105,0.047154,0.000000,0.652710
7,4,0,0.300000,0,0.063322,0.706414,0.936678,27.942683,1.154477,1.154477,0,0,0.000000,1.200000,0,16,706414.473684,706.414474,0.041316,0.000000,0.815540
7,4,0,0.300000,0,0.063322,0.706414,0.936678,27.942683,1.154477,1.154477,0,0,0.000000,1.200000,0,16,706414.473684,706.414474,0.041316,0.000000,0.815540
5,4,0,0.300000,0,0.412007,0.775493,0.587993,17.073951,1.153815,1.153815,0,0,0.000000,1.200000,0,16,775493.421053,775.493421,0.067578,0.000000,0.894776
5,4,0,0.300000,0,0.412007,0.775493,0.587993,17.073951,1.153815,1.153815,0,0,0.000000,1.200000,0,16,775493.421053,775.493421,0.067578,0.000000,0.894776
5,4,0,0.500000,0,0.449013,0.726151,0.550987,19.076571,1.152082,1.152082,0,0,0.000000,2.000000,0,16,726151.315789,726.151316,0.060393,0.000000,0.836586
5,4,0,0.500000,0,0.449013,0.726151,0.550987,19.076571,1.152082,1.152082,0,0,0.000000,2.000000,0,16,726151.315789,726.151316,0.060393,0.000000,0.836586
60,3,0,0.100000,0,0.000822,0.514803,0.999178,24.760392,1.146037,1.146037,0,0,0.000000,0.300000,0,9,514802.631579,514.802632,0.046285,0.000000,0.589983
60,3,0,0.100000,0,0.000822,0.514803,0.999178,24.760392,1.146037,1.146037,0,0,0.000000,0.300000,0,9,514802.631579,514.802632,0.046285,0.000000,0.589983
127,2,0,0.100000,0,0.003289,0.998355,0.996711,24.432517,1.137353,1.137353,0,0,0.000000,0.200000,0,4,998355.263158,998.355263,0.046551,0.000000,1.135482
127,2,0,0.100000,0,0.003289,0.998355,0.996711,24.432517,1.137353,1.137353,0,0,0.000000,0.200000,0,4,998355.263158,998.355263,0.046551,0.000000,1.135482
10,4,0,0.300000,0,0.145559,0.697368,0.854441,38.370520,1.134879,1.134879,0,0,0.000000,1.200000,0,16,697368.421053,697.368421,0.029577,0.000000,0.791429
10,4,0,0.300000,0,0.145559,0.697368,0.854441,38.370520,1.134879,1.134879,0,0,0.000000,1.200000,0,16,697368.421053,697.368421,0.029577,0.000000,0.791429
5,2,0,0.500000,0,0.342928,0.805099,0.657072,17.135193,1.133450,1.133450,0,0,0.000000,1.000000,0,4,805098.684211,805.098684,0.066147,0.000000,0.912539
5,2,0,0.500000,0,0.342928,0.805099,0.657072,17.135193,1.133450,1.133450,0,0,0.000000,1.000000,0,4,805098.684211,805.098684,0.066147,0.000000,0.912539
60,3,0,0.300000,0,0.044408,0.935033,0.955592,24.240182,1.132117,1.132117,0,0,0.000000,0.900000,0,9,935032.894737,935.032895,0.046704,0.000000,1.058567
60,3,0,0.300000,0,0.044408,0.935033,0.955592,24.240182,1.132117,1.132117,0,0,0.000000,0.900000,0,9,935032.894737,935.032895,0.046704,0.000000,1.058567
7,2,0,0.500000,0,0.263158,0.847862,0.736842,29.815123,1.128224,1.128224,0,0,0.000000,1.000000,0,4,847861.842105,847.861842,0.037841,0.000000,0.956578
7,2,0,0.500000,0,0.263158,0.847862,0.736842,29.815123,1.128224,1.128224,0,0,0.000000,1.000000,0,4,847861.842105,847.861842,0.037841,0.000000,0.956578
7,4,0,0.500000,0,0.310855,0.734375,0.689145,26.847027,1.127784,1.127784,0,0,0.000000,2.000000,0,16,734375.000000,734.375000,0.042008,0.000000,0.828217
7,4,0,0.500000,0,0.310855,0.734375,0.689145,26.847027,1.127784,1.127784,0,0,0.000000,2.000000,0,16,734375.000000,734.375000,0.042008,0.000000,0.828217
60,2,0,0.300000,0,0.000000,0.507401,1.000000,21.706592,1.119861,1.119861,0,0,0.000000,0.600000,0,4,507401.315789,507.401316,0.051591,0.000000,0.568219
60,2,0,0.300000,0,0.000000,0.507401,1.000000,21.706592,1.119861,1.119861,0,0,0.000000,0.600000,0,4,507401.315789,507.401316,0.051591,0.000000,0.568219
10,4,0,0.300000,0,0.236842,0.645559,0.763158,30.361210,1.111476,1.111476,0,0,0.000000,1.200000,0,16,645559.210526,645.559211,0.036608,0.000000,0.717524
10,4,0,0.300000,0,0.236842,0.645559,0.763158,30.361210,1.111476,1.111476,0,0,0.000000,1.200000,0,16,645559.210526,645.559211,0.036608,0.000000,0.717524
60,4,0,0.100000,0,0.004112,0.457237,0.995888,18.180579,1.103992,1.103992,0,0,0.000000,0.400000,0,16,457236.842105,457.236842,0.060724,0.000000,0.504786
60,4,0,0.100000,0,0.004112,0.457237,0.995888,18.180579,1.103992,1.103992,0,0,0.000000,0.400000,0,16,457236.842105,457.236842,0.060724,0.000000,0.504786
5,4,0,0.500000,0,0.361842,0.772204,0.638158,15.492602,1.100314,1.100314,0,0,0.000000,2.000000,0,16,772203.947368,772.203947,0.071022,0.000000,0.849667
5,4,0,0.500000,0,0.361842,0.772204,0.638158,15.492602,1.100314,1.100314,0,0,0.000000,2.000000,0,16,772203.947368,772.203947,0.071022,0.000000,0.849667
7,4,0,0.500000,0,0.389803,0.750000,0.610197,25.336011,1.099752,1.099752,0,0,0.000000,2.000000,0,16,750000.000000,750.000000,0.043407,0.000000,0.824814
7,4,0,0.500000,0,0.389803,0.750000,0.610197,25.336011,1.099752,1.099752,0,0,0.000000,2.000000,0,16,750000.000000,750.000000,0.043407,0.000000,0.824814
60,2,0,0.100000,0,0.050987,0.967928,0.949013,24.361331,1.097761,1.097761,0,0,0.000000,0.200000,0,4,967927.631579,967.927632,0.045062,0.000000,1.062553
60,2,0,0.100000,0,0.050987,0.967928,0.949013,24.361331,1.097761,1.097761,0,0,0.000000,0.200000,0,4,967927.631579,967.927632,0.045062,0.000000,1.062553
127,3,0,0.100000,0,0.003289,0.989309,0.996711,24.162460,1.097157,1.097157,0,0,0.000000,0.300000,0,9,989309.210526,989.309211,0.045408,0.000000,1.085428
127,3,0,0.100000,0,0.003289,0.989309,0.996711,24.162460,1.097157,1.097157,0,0,0.000000,0.300000,0,9,989309.210526,989.309211,0.045408,0.000000,1.085428
60,2,0,0.500000,0,0.001645,0.472862,0.998355,21.234526,1.095023,1.095023,0,0,0.000000,1.000000,0,4,472861.842105,472.861842,0.051568,0.000000,0.517795
